id,中文名称【所有用到道具名称的地方都是读这里】,插件用【作为插件json文件的名称，不能有空格】,家园图鉴解锁需要的碎片数量,"道具类型【会影响道具的功能，无0，方块1，杂物2，工具3，一组物品4，怪物5，帐号物品6，弓7，投掷8，装备9，枪械10，食物11，12工具+投掷物，13工具+食物，14方块+食物，16机械，17地图通行证，18乐器，19喷漆贴图，20气泡，21武器皮肤，22播报，23称号，24特长碎片,25头像，26动作，27心情框，28背景】",描述中的解锁途径-String表ID,类型描述-String表ID,描述【所有道具tips等用到道具描述的地方，都是读的这里】,获取方式(工匠台和冶炼台的内容可读取并显示在tips上，无需写在这里了),冒险背包最大堆叠数目/做了防作弊的处理，获得超过这个数量会宕机
22,游戏版本过低,,,"0",,,快去下载最新的游戏版本吧！,,64
23,深积岩,SedimentaryRock,,"1",,,在深海中被挤压了数万年而形成的层叠结构，蕴含了深海藻类所需的各类营养，非常适合种植荧光棒藻和红藻,,64
24,锰结核矿,ManganeseOre,,"1",,,用于#c0aba1d强化潜水装备、制作@item_1206##n抵御深海的高压,锰金属不断地在@item_23#中凝聚所产生的矿物，因此只在深海稍有产出，破坏后掉落@item_12614#,64
25,礁石,Reef,,"1",,,非常适合珊瑚生长，珊瑚成熟后，礁石的颜色也会随之变化,,64
26,漂流瓶,,,"1",,100014,在海洋与河流生态#c0aba1d蓄力#n丢出，水流会带着你的心愿到远方，也许有一天会被人在远方发现,将@item_11806#放入放置在@item_28#中获得,1
27,远方的漂流瓶,,,,,100014,密封在漂流瓶中的纸条往往包含着重要的信息或者衷心的祝福，当然也有可能是某人某时的所思所想，看它的样子像是跨越了山海，穿越了时间…把瓶子放在地上取出纸条看看吧…,钓鱼和探索海洋有几率获得,1
28,小玻璃瓶（方块）,,,,,100014,将它摆出来，把写了字的@item_11806#装进去,,64
29,黄沙,Sand,,"1",,100016,#c0aba1d铲类工具#n可快速开采，是加工@item_11305#的原材料，@item_11305#常用于烧制@item_632#,常见于#c0aba1d水边#n和#c0aba1d沙漠地区#n,64
30,游戏版本过低,,,"0",,,快去下载最新的游戏版本吧！,,64
31,坚固冰棱,HardIcicle,,"1",,100009,"很#c0aba1d稳定#n的冰棱,在它附近要带好头盔哦",,64
32,脆冰棱,WeakIcicle,,"1",,100009,"很容易会#c0aba1d掉落#n的冰棱,在它附近要带好头盔哦",,64
33,平凡晶核矿,OrdinaryCrystalCoreOre,,"1",,100010,要用@item_11013#或更高级镐开采,稀有矿石，可能出现冰原#c0aba1d雪山洞窟#n和雨林的#c0aba1d地下#n,64
34,霜火石矿,IceCrystalOre,,"1",,100010,散发出阵阵寒气的矿石，要用@item_11011#或更高级镐开采，会使#c0aba1d周围温度降低#n,稀有矿石，可能出现冰原#c0aba1d雪山洞窟#n中,64
35,霜火石块,IceCrystalBlock,,"1",,100010,大量@item_11824#加工，发出寒光的方块，会使#c0aba1d周围温度大幅降低#n,,64
36,洞窟洞口刷新,,,"1",,,,,64
37,洞窟通道刷新,,,"1",,,,,64
38,洞窟大洞刷新,,,"1",,,,,64
39,洞窟小洞刷新,,,"1",,,,,64
40,虚空晶块,,,"1",,100010,用虚空晶体合成的方块，可照亮周围的空间，放置在@item_596#下方后在虚空之夜凌晨时会有最强力的怪物来袭击，请慎重使用！,,64
100,长草土块,GrassBlock,,"1",,100016,地表方块，铲类工具可快速开采，#c0aba1d使用耙类工具可变为@item_102#，使用铲类工具可变为@item_103#,对@item_101#使用@item_11226#可以获得,64
101,土块,Soil,,"1",,100016,使用@item_11226#或者雨后都会萌发绿意变@item_100#，铲类工具可快速开采，#c0aba1d使用耙类工具可变为@item_102#，使用铲类工具可变为@item_103#,地表之下随手可得,64
102,耕地,Farmland,,"1",,,可种植农作物，靠近水或用水源灌溉可保持湿润，利于作物生长,,64
103,土坑,Pit,,"1",,,可种植花种子、树苗，靠近水源或用水灌溉可保持湿润，利于植物生长,,64
104,岩石,Stone,,"1",,100016,地下随处可见，镐类工具可快速开采,,64
105,青石,MossRock,,"1",,100016,具有装饰作用的方块,,64
106,细黄沙,Sand,,"1",,100016,铲类工具可快速开采，是加工@item_11305#的原材料，@item_11305#常用于烧制@item_632##r会受重力影响下落,常见于水边和沙漠地区,64
107,碎石堆,Gravel,,"1",,100016,不牢固的碎石堆，铲类工具可以快速开采。#r下方为空时，站在上面会塌陷，小心站稳,,64
108,素纹黄砖,Sandstone,,"1",,100011,用@item_29#烧制的建筑材料,,64
109,砂土,SandySoil,,"1",,100016,贫瘠的土块，植物无法在上面生长，铲类工具可快速开采,,64
110,散落的石块,ScatteredStone,,"1",,100016,被风磨损的小岩石，开采后获得@item_11627#，用来加工石质工具,,64
111,游戏版本过低,,,"0",,,快去下载最新的游戏版本吧！,,64
112,黑晶石,BlackCrystal,,,,100018,受到虚空幻影的影响，地质结构剧烈变化，该矿石已不复存在,,64
113,脆冰,FloatingIce,,"1",,,水上的脆冰，敲碎后化作星星点点消散天地之间,,64
114,淤泥,Silt,,"1",,100016,水底的土块，铲类工具可以快速开采,,64
115,松软的雪,Snow,,"1",,100011,四分之一格高的软雪薄板，可堆叠改变厚度,,64
116,萌眼星石块,HorasRock,,"1",,100016,萌眼星的特殊石块，抗爆炸能力强，要用@item_11013#或更高级镐类工具开采,,64
117,萌眼星草块,Horasgrass,,"1",,100016,萌眼星的草块，含有植物生长的必要养分。要用@item_11023#或更高级铲类工具开采,,64
118,萌眼星云团,Horascloud,,"1",,100018,萌眼星空岛周边的云块，踩上去就会开始破碎,,64
119,旱土,Drysoil,,"1",,100016,在萌眼星，迷拉星的@item_100#需要放在@item_1050#上才能保持养分，否则就会失去养分成为旱土,,64
120,冻土,FreezeSoil,,"1",,100016,在低温环境下，@item_100#和@item_101#会转化为@item_120#。喜欢寒冷的植物需要长在此类土壤之上。,,64
121,冻土坑,FreezePit,,"1",,,可种植喜好寒冷的花种子、树苗,,64
122,厚实的雪,SnowBlock,,"1",,100016,厚实的雪，遇到高热的#c0aba1d岩浆#n或在高温环境下会融化成水，会使#c0aba1d周围温度稍微降低#n,,64
123,自然冰,Ice,,"1",,100016,常见于寒冷冰雪地带，镐类工具可快速开采，碰到#c0aba1d高温环境#n会融化成水，会使#c0aba1d周围温度稍微降低#n,,64
124,硫黄岩,SulphurRock,,"1",,100016,烈焰星常见的岩石，在冶炼台可以烧炼出@item_11214#，用镐类工具可快速开采。,,64
125,灼沙,HotSand,,"1",,100016,散发着灼热气息的黄沙，用铲类工具可快速开采,,64
126,魔古岩,MagicRock,,"1",,100018,未知之地的石头，不易被爆炸摧毁,商人有时会出售,64
127,泡沫块,Sponge,,"1",,100018,具有装饰作用的方块,,64
128,红沙,Redsand,,"1",,,罕见的红色沙堆，含有丰富的矿物元素，与@item_11201#混合之后会变得非常不稳定,在红土岛屿和珊瑚岛屿中时有发现,64
129,厚实的雪,ThickSnow,,"1",,,,,64
130,厚实的雪堆,ThickSnowBlock,,"1",,,想一起堆个雪人，或者来打雪仗,,64
131,坚固的冰,HardIce,,"1",,,超级坚硬的冰，无法被撼动,,64
132,硫黄晶砂,SulfurCrystalSand,,"1",,100018,出现在烈焰星的岩浆中，只能用@item_11025#开采，是制作@item_11219#的材料之一，被流体遮挡时会喷发#r#c0aba1d生命可贵，请勿模仿任何游戏内的行为#n,,64
133,空的蜂巢,EmptyHoneycomb,,"1",,100018,现在还没有蜂蜜入住，放到@item_255#下可以积蓄蜂蜜,,64
134,满的蜂巢,FullHoneycomb,,"1",,100018,装满蜂蜜的蜂巢，小心蜜蜂！对其使用@item_11320#可获得@item_12511#,,64
135,神秘图腾-大地,Horastotem-Earth,,"1",,100019,古文明中具有重要意义的石像，如今仅有装饰作用,萌眼星古代文明遗迹中收集,64
136,神秘图腾-天空,Horastotem-Sky,,"1",,100019,古文明中具有重要意义的石像，如今仅有装饰作用,萌眼星古代文明遗迹中收集,64
137,萌眼星土坑,Horaspit,,"1",,,,,64
138,污染方块,ToxicBlock,,"0",,,,,64
139,BOSS战使用方块,BossFightUtilityBlock,,"0",,,,,64
140,生命石座,LifeStone,,"1",,,“昔日者”文明留下的石座，联系着迷拉星的生命力量,,1
141,勇气石座,CourageStone,,"1",,,“昔日者”文明留下的石座，联系着烈焰星的勇气力量,,1
142,智慧石座,WisdomStone,,"1",,,“昔日者”文明留下的石座，联系着萌眼星的智慧力量,,1
143,破损的石座,BrokenAltar,,"1",,,古代石座，被挖掘后已无法恢复原状,,1
144,红薇蝶玻璃瓶,CrimsonButterflyBottle,,"1",,100014,放置后可照亮周围小片区域,在空岛地形用@item_11320#捕捉蝴蝶获得,64
145,兰青蝶玻璃瓶,CyanButterflyBottle,,"1",,100014,放置后可照亮周围小片区域,在空岛地形用@item_11320#捕捉蝴蝶获得,64
146,香粉蝶玻璃瓶,FragrantButterflyBottle,,"1",,100014,放置后可照亮周围小片区域,在空岛地形用@item_11320#捕捉蝴蝶获得,64
147,白香蝶玻璃瓶,SunButterflyBottle,,"1",,100014,放置后可照亮周围小片区域,在空岛地形用@item_11320#捕捉蝴蝶获得,64
148,龙信蝶玻璃瓶,DragonkinButterflyBottle,,"1",,100014,放置后可照亮周围小片区域,在空岛地形用@item_11320#捕捉蝴蝶获得,64
149,舌钟蝶玻璃瓶,ShezhongButterflyBottle,,"1",,100014,放置后可照亮周围小片区域,在空岛地形用@item_11320#捕捉蝴蝶获得,64
150,红土耕地,RedFarmland,,"1",,,可种植适应特殊的作物，必须靠近水或用花洒灌溉才能保持湿润,使用耙开垦@item_233#获得,64
151,红土土坑,RedBuryland,,"1",,,可种植特殊的植物，必须靠近水或用花洒灌溉才能保持湿润,使用铲子开垦@item_233#获得,64
152,星球岩竖薄板,,,"1",,100011,竖立着的轻薄石板，可堆叠改变厚度,,64
153,竹板竖薄板,,,"1",,100011,竖立着的轻薄木板，可堆叠改变厚度,,64
154,胭脂红竖薄板,,,"1",,100011,竖立着的轻薄木板，可堆叠改变厚度,,64
155,水泥砖竖薄板,,,"1",,100011,竖立着的轻薄石板，可堆叠改变厚度,,64
156,硫黄砖竖薄板,,,"1",,100011,竖立着的轻薄石板，可堆叠改变厚度,,64
157,石质竖薄板,,,"1",,100011,竖立着的轻薄石板，可堆叠改变厚度,,64
158,精制石砖竖薄板,,,"1",,100011,竖立着的轻薄石板，可堆叠改变厚度,,64
159,钛合金竖薄板,,,"1",,100011,竖立着的轻薄金属板，可堆叠改变厚度,,64
160,黄铜竖薄板,,,"1",,100011,竖立着的轻薄金属板，可堆叠改变厚度,,64
161,云母竖薄板,,,"1",,100011,竖立着的轻薄金属板，可堆叠改变厚度,,64
162,秘银竖薄板,,,"1",,100011,竖立着的轻薄金属板，可堆叠改变厚度,,64
163,炽炎竖薄板,,,"1",,100011,竖立着的轻薄金属板，可堆叠改变厚度,,64
164,柠檬黄竖薄板,,,"1",,100011,竖立着的轻薄木板，可堆叠改变厚度,,64
165,苍石灰竖薄板,,,"1",,100011,竖立着的轻薄木板，可堆叠改变厚度,,64
166,深栗红竖薄板,,,"1",,100011,竖立着的轻薄木板，可堆叠改变厚度,,64
167,落日橙竖薄板,,,"1",,100011,竖立着的轻薄木板，可堆叠改变厚度,,64
168,海棠红竖薄板,,,"1",,100011,竖立着的轻薄木板，可堆叠改变厚度,,64
169,象牙白竖薄板,,,"1",,100011,竖立着的轻薄木板，可堆叠改变厚度,,64
170,秋叶橙竖薄板,,,"1",,100011,竖立着的轻薄木板，可堆叠改变厚度,,64
171,竖薄板,,,"1",,100011,竖立着的轻薄木板，可堆叠改变厚度,,64
172,黄砖竖薄板,,,"1",,100011,竖立着的轻薄石板，可堆叠改变厚度,,64
173,锰块竖薄板,,,"1",,100011,竖立着的轻薄金属板，可堆叠改变厚度,,64
174,浅苍灰竖薄板,,,"1",,100011,竖立着的轻薄木板，可堆叠改变厚度,,64
200,樱桃木,CherryWood,,"1",,100010,樱桃树干，可在@item_800#加工成@item_11323#，可用于装饰，也可以作为燃料,在斧类工具上镶嵌#c0aba1d完整获取#n符文后砍伐获得,64
201,落叶松木,Larch,,"1",,100010,落叶松树干，可在@item_800#加工成@item_11323#，可用于装饰，也可以作为燃料,在斧类工具上镶嵌#c0aba1d完整获取#n符文后砍伐获得,64
202,白杨木,Poplarwood,,"1",,100010,白杨树干，可在@item_800#加工成@item_11323#，可用于装饰，也可以作为燃料,在斧类工具上镶嵌#c0aba1d完整获取#n符文后砍伐获得,64
203,红杉木,Redwood,,"1",,100010,红杉树干，可在@item_800#加工成@item_11323#，可用于装饰，也可以作为燃料,在斧类工具上镶嵌#c0aba1d完整获取#n符文后砍伐获得,64
204,楠木,PhoebeWood,,"1",,100010,楠木树干，可在@item_800#加工成@item_11323#，可用于装饰，也可以作为燃料,在斧类工具上镶嵌#c0aba1d完整获取#n符文后砍伐获得,64
205,核桃木,WalnutWood,,"1",,100010,核桃树干，可在@item_800#加工成@item_11323#，可用于装饰，也可以作为燃料,在斧类工具上镶嵌#c0aba1d完整获取#n符文后砍伐获得,64
206,木板,WoodBoard,,"1",,100010,基础建筑材料，在木制建筑中被广泛使用,,64
207,秋叶橙木板,YellowOrangeBoard,,"1",,100010,基础建筑材料，在木制建筑中被广泛使用,,64
208,象牙白木板,WhiteBoard,,"1",,100010,基础建筑材料，在木制建筑中被广泛使用,,64
209,海棠红木板,LightRedBoard,,"1",,100010,基础建筑材料，在木制建筑中被广泛使用,,64
210,落日橙木板,RedOrangeBoard,,"1",,100010,基础建筑材料，在木制建筑中被广泛使用,,64
211,深栗红木板,DeepRedBoard,,"1",,100010,基础建筑材料，在木制建筑中被广泛使用,,64
212,樱桃树苗,CherryWoodSapling,,,,100009,可以作为燃料使用，但烧的非常快,,64
213,落叶松树苗,LarchSapling,,,,100009,可以作为燃料使用，但烧的非常快,,64
214,白杨树苗,PoplarSapling,,,,100009,可以作为燃料使用，但烧的非常快,,64
215,红杉树苗,RedwoodSapling,,,,100009,可以作为燃料使用，但烧的非常快,,64
216,楠木树苗,PhoebeSapling,,,,100009,可以作为燃料使用，但烧的非常快,,64
217,核桃树苗,WalnutSapling,,,,100009,可以作为燃料使用，但烧的非常快,,64
218,樱桃木树叶,CherryWoodLeaves,,"1",,100009,可以用来做@item_1200#燃料或者制氧原料，也可以作为#c0aba1d雪人的头饰#n,,64
219,落叶松树叶,LarchLeaves,,"1",,100009,可以用来做@item_1200#燃料或者制氧原料，也可以作为#c0aba1d雪人的头饰#n,,64
220,白杨树叶,PoplarLeaves,,"1",,100009,可以用来做@item_1200#燃料或者制氧原料，也可以作为#c0aba1d雪人的头饰#n,,64
221,红杉树叶,RedwoodLeaves,,"1",,100009,可以用来做@item_1200#燃料或者制氧原料，也可以作为#c0aba1d雪人的头饰#n,,64
222,楠木树叶,PhoebeLeaves,,"1",,100009,可以用来做@item_1200#燃料或者制氧原料，也可以作为#c0aba1d雪人的头饰#n,,64
223,核桃树叶,WalnutLeaves,,"1",,100009,可以用来做@item_1200#燃料或者制氧原料，也可以作为#c0aba1d雪人的头饰#n,,64
224,小草,Grass,,"1",,100009,天苍苍，野茫茫，风吹草低见牛羊#r#c0aba1d破坏#n后有可能获得@item_11226#,,64
225,枯草,DeadGrass,,"1",,100009,离离原上草，一岁一枯荣#r使用#c0aba1d铲类工具#n收获@item_225#，其余工具则收获@item_11226#,,64
226,土笋,EarthenShoots,,"1",,100009,在阴暗处生长的植物，是烹饪的原材料，直接食用#c0aba1d恢复体力#n但小心#c0aba1d拉肚子#n哦，据说会和萌眼星空岛下的#c0aba1d星光孢子树#n发生一些奇妙的变化,,64
227,紫苏,Perilla,,"1",,100009,在阴暗处生长的植物，是烹饪的原材料，直接食用#c0aba1d恢复体力#n但小心#c0aba1d拉肚子#n哦，据说会和萌眼星空岛下的#c0aba1d星光孢子树#n发生一些奇妙的变化,,64
228,独葵,DuKui,,"11",,100009,#c0aba1d喂食角鹿#n使其进入#c0aba1d产奶#n状态,生长在#c0aba1d雨林中#n,64
229,玉米,Corn,,"1",,100009,可加工成@item_344#，@item_344#是烹饪的基础原材料。可以在@item_1200#上烤熟,@item_11400#在@item_102#上种植，或收获野生玉米获得,64
230,巨布鲁果,GiantBlueFruit,,"1",,100009,,在@item_102#上种植@item_11401#获得,64
231,巨布鲁果苗,GiantBlueFruitSeed,,"1",,,有了阳光和水，再等一段时间，苗上会长出果实,,64
232,气根,AirRoot,,"1",,100009,大树上垂下的气根，异常坚韧，可承受人的重量，别爬太高，小心摔下来！,,64
233,红土,RedSoil,,"1",,100016,传说中海上有座岛，那里遍地都是红土，罕见的红色土壤，含丰富且奇异的成分，在上面生长的植物都会发生一些神奇的变化,,64
234,水稻,Rice,,"1",,100009,生长在#c0aba1d盆地的水域中#n，可加工成@item_12528#，然后在@item_794#内煮成@item_12529##r喂给嘟嘟鸟吃可以使它进入繁殖状态,在底部为@item_101#或@item_29#，且高度为一格的水面种植@item_11404#获得,64
236,青瓜,Cucumber,,"1",,100009,可在@item_102#上种植。#r可以喂食#c0aba1d墩墩#n获得@item_11311#。,破坏陶罐、击败爆爆蛋时，均有可能获得,64
237,红杉果,BallFruit,,"1",,,红杉木上的果实，是烹饪的原材料,,64
238,荆棘草,ThornGrass,,"1",,100009,带刺的小草，#c0aba1d破坏#n后有可能获得@item_11226#,,64
239,巨鳞羽果,GiantScalyFruit,,"1",,100009,太大了，要切开才能吃！需要在@item_800#里加工一下,在@item_101#上种@item_11402#也可获得,64
240,巨鳞羽果苗,GiantScalyFruitSeed,,"1",,,有了阳光和水，再等一段时间，苗上会长出果实,,64
241,番薯,Yams,,"1",,100009,可在@item_102#上种植。可以在@item_1200#上烤熟,破坏陶罐有可能获得,64
242,仙人掌茎,Cactus,,"1",,100009,生长在#c0aba1d沙漠#n里，可以和@item_12001#一起加工成布满尖刺的武器！,使用@item_11420#种植在@item_103#中也可获得,64
243,野生玉米,WildCorn,,"1",,100009,破坏后有可能获得@item_229#,野蛮生长的玉米，因缺乏照料营养不是很足,64
244,圣诞树,ChristmasTree,,"1",,,圣诞老人亲手装点的常青树，通常用于装饰建筑,圣诞活动期间圣诞老人的商店中购买,64
245,水草,Waterweed,,"1",,100009,生长在#c0aba1d浅海#n的水生植物，因长势错综复杂很容易缠住停留在其上的生物和道具，尽量不要停留太久，如果运气够好也有可能在其中找到稀有的珍宝,,64
246,海带,Seaweed,,"1",,100009,生长在#c0aba1d浅海#n的常见水生植物，破坏后有概率掉落@item_12615#,镶嵌完整获取符文可以收获海带,64
247,漂浮的花瓣,FloatingFlower,,"1",,100009,散落在#c0aba1d水面上#n，可放置在水面做装饰,,64
248,漂浮的木板,FloatingPlank,,"1",,100009,放置在水面上可#c0aba1d承受重量#n,,64
249,松果,PineCone,,"1",,,落叶松的果实，可烹饪美味的食物,,64
250,荷花,Lotus,,"1",,100009,生长在#c0aba1d水面上#n，可放置在水面做装饰,,64
251,竹子,Bamboo,,"1",,100009,对#c0aba1d熊猫#n使用后，有可能将其#c0aba1d驯服#n#r#c0aba1d喂食#n已驯服的熊猫后，可获得@item_11312#,生长在#c0aba1d竹林#n，也可在@item_103#中种植@item_253#获得,64
252,竹叶,BambooLeaves,,"1",,100009,可用作装饰，破坏后有几率掉落@item_253#,,64
253,竹笋,BambooShoot,,"1",,100009,种植在@item_103#中可长成@item_251#,破坏@item_252#有可能获得,64
254,桃花木,Peachwood,,"1",,100010,用#c0aba1d斧类工具#n可快速砍伐#r可加工成@item_11323#，也可以作为燃料,,64
255,桃花树叶,PeachLeaves,,"1",,100009,可以用来做@item_1200#燃料或者制氧原料#r喂给飞鸡吃可使它进入繁殖状态，也可以作为#c0aba1d雪人的头饰#n,,64
256,桃花树苗,PeachSapling,,,,100009,在@item_103#种植可长成桃树,破坏@item_255#有几率掉落,64
257,珍木,Genwood,,"1",,100010,用#c0aba1d斧类工具#n可快速砍伐#r可加工成@item_11323#，也可以作为燃料,,64
258,珍木树叶,Genleaves,,"2",,100009,可以用来做@item_1200#燃料或者制氧原料，也可以作为#c0aba1d雪人的头饰#n,,64
259,珍木树苗,Gensapling,,,,100009,珍木的幼苗,破坏@item_258#有几率掉落,64
260,无叶珍木,BaldGenwood,,"1",,100010,生长在萌眼星的贫瘠地表上，侧面可种植@item_12582##r要用@item_11003#或更高级斧类工具砍伐,,64
261,星光孢子杆,HorasSporestipe,,"1",,100010,在其旁边种植@item_226#、@item_227#会发生#c0aba1d变异#n,生长在萌眼星#c0aba1d空岛下方的阴暗处#n,64
262,苔藓,Moss,,,,100009,湿润且富含水分的苔藓，小心站在上面会滑倒，破坏掉落@item_11595##r白日不到处，青春恰自来,,64
263,星光孢子种子,HorasSporeSeed,,"1",,100008,#c0aba1d种植#n在阴暗处的@item_116#上，一段时间后会长出@item_270#,,64
264,苍石灰木板,GreyBoard,,"1",,100010,基础建筑材料，在木制建筑中被广泛使用,,64
265,无叶珍木木板,BaldGenwooddeck,,"0",,,可用于装饰,,64
266,变异土笋,MutatedEarthenShoots,,"1",,100008,#c0aba1d食用#n后会获得以下特殊效果#r#c0aba1d荧光、疯狂挖掘或挖掘疲劳状态。,将@item_270#接近土笋变异而成,64
267,变异紫苏,MutatedPerilla,,"1",,100008,#c0aba1d食用#n后会获得以下特殊效果#r#c0aba1d荧光、生命恢复或中毒状态。,将@item_270#接近紫苏变异而成,64
268,变异的植物杆,Mutatedstipe,,"1",,100010,,生长在#c0aba1d萌眼星空岛下方的阴暗处#n,64
269,荧光彩色草,Fluorescentflower,,"1",,100009,制作@item_12590#和@item_12591#的材料之一,生长在#c0aba1d萌眼星空岛#n上,64
270,星光孢子,HorasSpore1,,"2",,100009,#c0aba1d食用#n后获得#c0aba1d荧光状态#n，概率获得夜视或晕头转向状态,生长在萌眼星空岛下方的阴暗处，种植@item_263#也可获得,64
271,星光孢子,HorasSpore2,,"2",,100009,#c0aba1d食用#n后获得#c0aba1d荧光状态#n，概率获得夜视或晕头转向状态,生长在萌眼星空岛下方的阴暗处，种植@item_263#也可获得,64
272,星光孢子,HorasSpore3,,"2",,100009,#c0aba1d食用#n后获得#c0aba1d荧光状态#n，概率获得夜视或晕头转向状态,生长在萌眼星空岛下方的阴暗处，种植@item_263#也可获得,64
273,星光孢子,HorasSpore4,,"2",,100009,#c0aba1d食用#n后获得#c0aba1d荧光状态#n，概率获得夜视或晕头转向状态,生长在萌眼星空岛下方的阴暗处，种植@item_263#也可获得,64
274,星光孢子,HorasSpore5,,"2",,100009,#c0aba1d食用#n后获得#c0aba1d荧光状态#n，概率获得夜视或晕头转向状态,生长在萌眼星空岛下方的阴暗处，种植@item_263#也可获得,64
275,星光孢子,HorasSpore6,,"2",,100009,#c0aba1d食用#n后获得#c0aba1d荧光状态#n，概率获得夜视或晕头转向状态,生长在萌眼星空岛下方的阴暗处，种植@item_263#也可获得,64
276,星光孢子,HorasSpore7,,"2",,100009,#c0aba1d食用#n后获得#c0aba1d荧光状态#n，概率获得夜视或晕头转向状态,生长在萌眼星空岛下方的阴暗处，种植@item_263#也可获得,64
277,星光孢子,HorasSpore8,,"2",,100009,#c0aba1d食用#n后获得#c0aba1d荧光状态#n，概率获得夜视或晕头转向状态,生长在萌眼星空岛下方的阴暗处，种植@item_263#也可获得,64
278,星光孢子,HorasSpore9,,"2",,100009,#c0aba1d食用#n后获得#c0aba1d荧光状态#n，概率获得夜视或晕头转向状态,生长在萌眼星空岛下方的阴暗处，种植@item_263#也可获得,64
279,星光孢子,HorasSpore10,,"2",,100009,#c0aba1d食用#n后获得#c0aba1d荧光状态#n，概率获得夜视或晕头转向状态,生长在萌眼星空岛下方的阴暗处，种植@item_263#也可获得,64
280,星光孢子,HorasSpore11,,"2",,100009,#c0aba1d食用#n后获得#c0aba1d荧光状态#n，概率获得夜视或晕头转向状态,生长在萌眼星空岛下方的阴暗处，种植@item_263#也可获得,64
281,星光孢子,HorasSpore12,,"2",,100009,#c0aba1d食用#n后获得#c0aba1d荧光状态#n，概率获得夜视或晕头转向状态,生长在萌眼星空岛下方的阴暗处，种植@item_263#也可获得,64
282,星光孢子,HorasSpore13,,"2",,100009,#c0aba1d食用#n后获得#c0aba1d荧光状态#n，概率获得夜视或晕头转向状态,生长在萌眼星空岛下方的阴暗处，种植@item_263#也可获得,64
283,星光孢子,HorasSpore14,,"2",,100009,#c0aba1d食用#n后获得#c0aba1d荧光状态#n，概率获得夜视或晕头转向状态,生长在萌眼星空岛下方的阴暗处，种植@item_263#也可获得,64
284,星光孢子,HorasSpore15,,"2",,100009,#c0aba1d食用#n后获得#c0aba1d荧光状态#n，概率获得夜视或晕头转向状态,生长在萌眼星空岛下方的阴暗处，种植@item_263#也可获得,64
285,星光孢子,HorasSpore16,,"2",,100009,#c0aba1d食用#n后获得#c0aba1d荧光状态#n，概率获得夜视或晕头转向状态,生长在萌眼星空岛下方的阴暗处，种植@item_263#也可获得,64
286,变异星光孢子杆,PerillaMutatedstipe,,"1",,100009,遇到@item_227#或@item_226#后变异的@item_261#,,64
